GENE,ENSGID,ENTREZ,Synonyms,GENE_description,HGNC,Chromosome,OMIM ID(supplied by OMIM)
GEMIN2,ENSG00000092208,8487,,gem nuclear organelle associated protein 2,HGNC:10884,14q21.1,602595
GEMIN4,nan,50628,"HHRF-1, DKFZP434B131, p97, DKFZP434D174, HC56, HCAP1",gem nuclear organelle associated protein 4,HGNC:15717,17p13.3,606969
GEMIN5,ENSG00000082516,25929,,gem nuclear organelle associated protein 5,HGNC:20043,5q33.2,607005
GEMIN6,ENSG00000152147,79833,FLJ23459,gem nuclear organelle associated protein 6,HGNC:20044,2p22.1,607006
GEMIN7,ENSG00000142252,79760,FLJ13956,gem nuclear organelle associated protein 7,HGNC:20045,19q13.32,607419
GEMIN8,ENSG00000046647,54960,FLJ20514,gem nuclear organelle associated protein 8,HGNC:26044,Xp22.2,300962
GEN1,ENSG00000178295,348654,"FLJ40869, Gen",GEN1 Holliday junction 5' flap endonuclease,HGNC:26881,2p24.2,612449
GET1,ENSG00000182093,7485,CHD5,guided entry of tail-anchored proteins factor 1,HGNC:12790,21q22.2,602915
GET3,nan,439,"ARSA-I, TRC40","guided entry of tail-anchored proteins factor 3, ATPase",HGNC:752,19p13.13,601913
GET4,ENSG00000239857,51608,"CGI-20, H_NH1244M04.5, CEE, TRC35",guided entry of tail-anchored proteins factor 4,HGNC:21690,7p22.3,612056
GFAP,ENSG00000131095,2670,FLJ45472,glial fibrillary acidic protein,HGNC:4235,17q21.31,137780
GFER,ENSG00000127554,2671,"HSS, ERV1, ALR, HERV1, HPO1, HPO2","growth factor, augmenter of liver regeneration",HGNC:4236,16p13.3,600924
GFI1,ENSG00000162676,2672,"GFI1A, GFI-1",growth factor independent 1 transcriptional repressor,HGNC:4237,1p22.1,600871
GFI1B,ENSG00000165702,8328,ZNF163B,growth factor independent 1B transcriptional repressor,HGNC:4238,9q34.13,604383
GFM1,ENSG00000168827,85476,"EFGM, GFM, EGF1, mtEF-G1",G elongation factor mitochondrial 1,HGNC:13780,3q25.32,606639
GFM2,ENSG00000164347,84340,"EFG2, FLJ21661, EF-G2mt",GTP dependent ribosome recycling factor mitochondrial 2,HGNC:29682,5q13.3,606544
GFOD1,ENSG00000145990,54438,"FLJ20330, ADG-90",glucose-fructose oxidoreductase domain containing 1,HGNC:21096,6p24.1-p23,
GFOD2,ENSG00000141098,81577,"FLJ23802, MGC11335",glucose-fructose oxidoreductase domain containing 2,HGNC:28159,16q22.1,
GFPT1,ENSG00000198380,2673,"GFAT, GFA, GFAT1",glutamine--fructose-6-phosphate transaminase 1,HGNC:4241,2p13.3,138292
GFPT2,ENSG00000131459,9945,GFAT2,glutamine-fructose-6-phosphate transaminase 2,HGNC:4242,5q35.3,603865
GFRA1,ENSG00000151892,2674,"RETL1, GDNFR, GFR-ALPHA-1, RET1L, TRNR1",GDNF family receptor alpha 1,HGNC:4243,10q25.3,601496
GFRA2,ENSG00000168546,2675,"RETL2, GDNFRB, NTNRA, TRNR2",GDNF family receptor alpha 2,HGNC:4244,8p21.3,601956
GFRA3,ENSG00000146013,2676,GFRa-3,GDNF family receptor alpha 3,HGNC:4245,5q31.2,605710
GFRA4,ENSG00000125861,64096,,GDNF family receptor alpha 4,HGNC:13821,20p13,
GFRAL,ENSG00000187871,389400,"GRAL, UNQ9356, bA360D14.1",GDNF family receptor alpha like,HGNC:32789,6p12.1,617837
GFY,ENSG00000261949,100507003,Goofy,golgi associated olfactory signaling regulator,HGNC:44663,19q13.33,
GGA1,ENSG00000100083,26088,,"golgi associated, gamma adaptin ear containing, ARF binding protein 1",HGNC:17842,22q13.1,606004
GGA2,ENSG00000103365,23062,"VEAR, KIAA1080","golgi associated, gamma adaptin ear containing, ARF binding protein 2",HGNC:16064,16p12.2,606005
GGA3,ENSG00000125447,23163,KIAA0154,"golgi associated, gamma adaptin ear containing, ARF binding protein 3",HGNC:17079,17q25.1,606006
GGACT,ENSG00000134864,87769,,gamma-glutamylamine cyclotransferase,HGNC:25100,13q32.3,613378
GGCT,ENSG00000006625,79017,"MGC3077, CRF21, Ggc",gamma-glutamylcyclotransferase,HGNC:21705,7p14.3,137170
GGCX,ENSG00000115486,2677,VKCFD1,gamma-glutamyl carboxylase,HGNC:4247,2p11.2,137167
GGH,ENSG00000137563,8836,,gamma-glutamyl hydrolase,HGNC:4248,8q12.3,601509
GGN,nan,199720,"FLJ35713, MGC33369",gametogenetin,HGNC:18869,19q13.2,609966
GGNBP2,ENSG00000278311,79893,"ZFP403, LZK1, FLJ22561, FLJ21230, DIF-3, DIF3",gametogenetin binding protein 2,HGNC:19357,17q12,612275
GGPS1,ENSG00000152904,9453,GGPPS1,geranylgeranyl diphosphate synthase 1,HGNC:4249,1q42.3,606982
GGT1,ENSG00000100031,2678,"D22S672, D22S732, CD224",gamma-glutamyltransferase 1,HGNC:4250,22q11.23,612346
GGT2,ENSG00000133475,728441,,gamma-glutamyltransferase 2,HGNC:4251,22q11.21,137181
GGT5,ENSG00000099998,2687,GGT-REL,gamma-glutamyltransferase 5,HGNC:4260,22q11.23,137168
GGT6,ENSG00000167741,124975,FLJ90165,gamma-glutamyltransferase 6,HGNC:26891,17p13.2,612341
GGT7,ENSG00000131067,2686,"D20S101, dJ18C9.2",gamma-glutamyltransferase 7,HGNC:4259,20q11.22,612342
GGTLC1,ENSG00000149435,92086,"dJ831C21.2, dJ831C21.1",gamma-glutamyltransferase light chain 1,HGNC:16437,20p11.21,612338
GGTLC2,ENSG00000100121,91227,,gamma-glutamyltransferase light chain 2,HGNC:18596,22q11.22,612339
GGTLC3,ENSG00000274252,728226,,gamma-glutamyltransferase light chain family member 3,HGNC:33426,22q11.21,612340
GH1,ENSG00000259384,2688,"GH-N, GHN, GH, hGH-N",growth hormone 1,HGNC:4261,17q23.3,139250
GH2,ENSG00000136487,2689,"GH-V, GHV, GHL, hGH-V",growth hormone 2,HGNC:4262,17q23.3,139240
GHDC,nan,84514,LGP1,GH3 domain containing,HGNC:24438,17q21.2,608587
GHITM,ENSG00000165678,27069,"HSPC282, PTD010, DERP2, My021, TMBIM5",growth hormone inducible transmembrane protein,HGNC:17281,10q23.1,
GHR,ENSG00000112964,2690,GHBP,growth hormone receptor,HGNC:4263,5p13.1-p12,600946
GHRH,ENSG00000118702,2691,,growth hormone releasing hormone,HGNC:4265,20q11.23,139190
GHRHR,ENSG00000106128,2692,,growth hormone releasing hormone receptor,HGNC:4266,7p14.3,139191
GHRL,ENSG00000157017,51738,"MTLRP, ghrelin, obestatin",ghrelin and obestatin prepropeptide,HGNC:18129,3p25.3,605353
GHSR,ENSG00000121853,2693,,growth hormone secretagogue receptor,HGNC:4267,3q26.31,601898
GID4,ENSG00000141034,79018,VID24,GID complex subunit 4 homolog,HGNC:28453,17p11.2,617699
GID8,ENSG00000101193,54994,"FLJ20602, bA305P22.1, TWA1",GID complex subunit 8 homolog,HGNC:15857,20q13.33,611625
GIGYF1,ENSG00000146830,64599,GYF1,GRB10 interacting GYF protein 1,HGNC:9126,7q22.1,612064
GIGYF2,ENSG00000204120,26058,"KIAA0642, GYF2",GRB10 interacting GYF protein 2,HGNC:11960,2q37.1,612003
GIMAP1,ENSG00000213203,170575,"HIMAP1, IMAP38, IMAP1, IAN2","GTPase, IMAP family member 1",HGNC:23237,7q36.1,608084
GIMAP2,ENSG00000106560,26157,"DKFZp586D0824, HIMAP2, IMAP2, IAN12","GTPase, IMAP family member 2",HGNC:21789,7q36.1,608085
GIMAP4,ENSG00000133574,55303,"HIMAP4, FLJ11110, IMAP4, IAN1","GTPase, IMAP family member 4",HGNC:21872,7q36.1,608087
GIMAP5,ENSG00000196329,55340,"HIMAP3, IAN5","GTPase, IMAP family member 5",HGNC:18005,7q36.1,608086
GIMAP6,ENSG00000133561,474344,"FLJ22690, IAN6","GTPase, IMAP family member 6",HGNC:21918,7q36.1,616960
GIMAP7,ENSG00000179144,168537,"MGC27027, IAN7","GTPase, IMAP family member 7",HGNC:22404,7q36.1,616961
GIMAP8,ENSG00000171115,155038,"DKFZp667I133, hIAN6, IAN9","GTPase, IMAP family member 8",HGNC:21792,7q36.1,616962
GIMD1,ENSG00000250298,100507096,,GIMAP family P-loop NTPase domain containing 1,HGNC:44141,4q24,
GIN1,ENSG00000145723,54826,"FLJ20125, GIN-1, TGIN1",gypsy retrotransposon integrase 1,HGNC:25959,5q21.1,
GINM1,ENSG00000055211,116254,dJ12G14.2,glycoprotein integral membrane 1,HGNC:21074,6q25.1,
GINS1,ENSG00000101003,9837,"KIAA0186, PSF1",GINS complex subunit 1,HGNC:28980,20p11.21,610608
GINS2,ENSG00000131153,51659,"PSF2, Pfs2",GINS complex subunit 2,HGNC:24575,16q24.1,610609
GINS3,ENSG00000181938,64785,"FLJ13912, PSF3",GINS complex subunit 3,HGNC:25851,16q21,610610
GINS4,ENSG00000147536,84296,"MGC14799, SLD5",GINS complex subunit 4,HGNC:28226,8p11.21,610611
GIP,ENSG00000159224,2695,,gastric inhibitory polypeptide,HGNC:4270,17q21.32,137240
GIPC1,ENSG00000123159,10755,"TIP-2, Hs.6454, GIPC, SEMCAP, GLUT1CBP, SYNECTIN, NIP",GIPC PDZ domain containing family member 1,HGNC:1226,19p13.12,605072
GIPC2,ENSG00000137960,54810,"FLJ20075, SEMCAP-2",GIPC PDZ domain containing family member 2,HGNC:18177,1p31.1,
GIPC3,nan,126326,DFNB95,GIPC PDZ domain containing family member 3,HGNC:18183,19p13.3,608792
GIPR,ENSG00000010310,2696,,gastric inhibitory polypeptide receptor,HGNC:4271,19q13.32,137241
GIT1,ENSG00000108262,28964,,GIT ArfGAP 1,HGNC:4272,17q11.2,608434
GIT2,ENSG00000139436,9815,"KIAA0148, PKL",GIT ArfGAP 2,HGNC:4273,12q24.11,608564
GJA1,ENSG00000152661,2697,"CX43, ODD, ODOD, SDTY3",gap junction protein alpha 1,HGNC:4274,6q22.31,121014
GJA10,ENSG00000135355,84694,CX62,gap junction protein alpha 10,HGNC:16995,6q15,611924
GJA3,ENSG00000121743,2700,CX46,gap junction protein alpha 3,HGNC:4277,13q12.11,121015
GJA4,ENSG00000187513,2701,CX37,gap junction protein alpha 4,HGNC:4278,1p34.3,121012
GJA5,ENSG00000265107,2702,CX40,gap junction protein alpha 5,HGNC:4279,1q21.2,121013
GJA8,ENSG00000121634,2703,CX50,gap junction protein alpha 8,HGNC:4281,1q21.2,600897
GJA9,ENSG00000131233,81025,"CX59, CX58",gap junction protein alpha 9,HGNC:19155,1p34.3,611923
GJB1,ENSG00000169562,2705,CX32,gap junction protein beta 1,HGNC:4283,Xq13.1,304040
GJB2,ENSG00000165474,2706,"CX26, NSRD1",gap junction protein beta 2,HGNC:4284,13q12.11,121011
GJB3,ENSG00000188910,2707,CX31,gap junction protein beta 3,HGNC:4285,1p34.3,603324
GJB4,ENSG00000189433,127534,CX30.3,gap junction protein beta 4,HGNC:4286,1p34.3,605425
GJB5,ENSG00000189280,2709,CX31.1,gap junction protein beta 5,HGNC:4287,1p34.3,604493
GJB6,ENSG00000121742,10804,"EDH, HED, CX30",gap junction protein beta 6,HGNC:4288,13q12.11,604418
GJB7,ENSG00000164411,375519,"CX25, bA136M9.1",gap junction protein beta 7,HGNC:16690,6q14.3-q15,611921
GJC1,nan,10052,CX45,gap junction protein gamma 1,HGNC:4280,17q21.31,608655
GJC2,ENSG00000198835,57165,"CX47, CX46.6, SPG44",gap junction protein gamma 2,HGNC:17494,1q42.13,608803
GJC3,ENSG00000176402,349149,CX30.2,gap junction protein gamma 3,HGNC:17495,7q22.1,611925
GJD2,ENSG00000159248,57369,CX36,gap junction protein delta 2,HGNC:19154,15q14,607058
GJD3,ENSG00000183153,125111,"CX31.9, GJA11, Cx30.2",gap junction protein delta 3,HGNC:19147,17q21.2,607425
GJD4,ENSG00000177291,219770,"CX40.1, FLJ90023",gap junction protein delta 4,HGNC:23296,10p11.21,611922
GJE1,ENSG00000203733,100126572,CX23,gap junction protein epsilon 1,HGNC:33251,6q24.1,
GK,ENSG00000198814,2710,"GK1, GKD",glycerol kinase,HGNC:4289,Xp21.2,300474
GK2,ENSG00000196475,2712,GKTA,glycerol kinase 2,HGNC:4291,4q21.21,600148
GK5,ENSG00000175066,256356,MGC40579,glycerol kinase 5,HGNC:28635,3q23,
GKAP1,ENSG00000165113,80318,"GKAP42, FKSG21",G kinase anchoring protein 1,HGNC:17496,9q21.32,611356
GKN1,ENSG00000169605,56287,"AMP18, CA11, BRICD1",gastrokine 1,HGNC:23217,2p13.3,606402
GKN2,ENSG00000183607,200504,"TFIZ1, PRO813, VLTI465, blottin, GDDR, BRICD1B",gastrokine 2,HGNC:24588,2p13.3,
GLA,ENSG00000102393,2717,GALA,galactosidase alpha,HGNC:4296,Xq22.1,300644
GLB1,ENSG00000170266,2720,EBP,galactosidase beta 1,HGNC:4298,3p22.3,611458
GLB1L,ENSG00000163521,79411,MGC10771,galactosidase beta 1 like,HGNC:28129,2q35,
GLB1L2,ENSG00000149328,89944,,galactosidase beta 1 like 2,HGNC:25129,11q25,
GLB1L3,ENSG00000166105,112937,FLJ90231,galactosidase beta 1 like 3,HGNC:25147,11q25,
GLCCI1,ENSG00000106415,113263,"GIG18, FAM117C, TSSN1",glucocorticoid induced 1,HGNC:18713,7p21.3,614283
GLCE,nan,26035,"KIAA0836, HSEPI",glucuronic acid epimerase,HGNC:17855,15q23,612134
GLDC,ENSG00000178445,2731,"GCSP, NKH",glycine decarboxylase,HGNC:4313,9p24.1,238300
GLDN,ENSG00000186417,342035,"CRG-L2, CLOM, colmedin, UNC-122",gliomedin,HGNC:29514,15q21.2,608603
GLE1,ENSG00000119392,2733,hGLE1,GLE1 RNA export mediator,HGNC:4315,9q34.11,603371
GLG1,ENSG00000090863,2734,"MG-160, ESL-1, CFR-1",golgi glycoprotein 1,HGNC:4316,16q23.1,600753
GLI1,ENSG00000111087,2735,,GLI family zinc finger 1,HGNC:4317,12q13.3,165220
GLI2,ENSG00000074047,2736,"THP2, HPE9, THP1",GLI family zinc finger 2,HGNC:4318,2q14.2,165230
GLI3,ENSG00000106571,2737,"PAP-A, PAPA, PAPA1, PAPB, ACLS, PPDIV",GLI family zinc finger 3,HGNC:4319,7p14.1,165240
GLI4,ENSG00000250571,2738,"HKR4, ZNF928",GLI family zinc finger 4,HGNC:4320,8q24.3,165280
GLIPR1,ENSG00000139278,11010,"RTVP1, GliPR",GLI pathogenesis related 1,HGNC:17001,12q21.2,602692
GLIPR1L1,ENSG00000173401,256710,MGC26856,GLIPR1 like 1,HGNC:28392,12q21.2,610395
GLIPR1L2,ENSG00000180481,144321,MGC39497,GLIPR1 like 2,HGNC:28592,12q21.2,610394
GLIPR2,ENSG00000122694,152007,GAPR-1,GLI pathogenesis related 2,HGNC:18007,9p13.3,607141
GLIS1,ENSG00000174332,148979,FLJ36155,GLIS family zinc finger 1,HGNC:29525,1p32.3,610378
GLIS2,ENSG00000126603,84662,NPHP7,GLIS family zinc finger 2,HGNC:29450,16p13.3,608539
GLIS3,ENSG00000107249,169792,MGC33662,GLIS family zinc finger 3,HGNC:28510,9p24.2,610192
GLMN,ENSG00000174842,11146,"FAP48, GLML, GVM, FKBPAP","glomulin, FKBP associated protein",HGNC:14373,1p22.1,601749
GLMP,ENSG00000198715,112770,"MGC31963, NCU-G1",glycosylated lysosomal membrane protein,HGNC:29436,1q22,
GLO1,ENSG00000124767,2739,GLOD1,glyoxalase I,HGNC:4323,6p21.2,138750
GLOD4,ENSG00000167699,51031,"CGI-150, HC71",glyoxalase domain containing 4,HGNC:14111,17p13.3,
GLOD5,ENSG00000171433,392465,,glyoxalase domain containing 5,HGNC:33358,Xp11.23,
GLP1R,ENSG00000112164,2740,GLP-1R,glucagon like peptide 1 receptor,HGNC:4324,6p21.2,138032
GLP2R,ENSG00000065325,9340,,glucagon like peptide 2 receptor,HGNC:4325,17p13.1,603659
GLRA1,ENSG00000145888,2741,,glycine receptor alpha 1,HGNC:4326,5q33.1,138491
GLRA2,ENSG00000101958,2742,,glycine receptor alpha 2,HGNC:4327,Xp22.2,305990
GLRA3,ENSG00000145451,8001,,glycine receptor alpha 3,HGNC:4328,4q34.1,600421
GLRB,ENSG00000109738,2743,,glycine receptor beta,HGNC:4329,4q32.1,138492
GLRX,ENSG00000173221,2745,"GRX, GRX1",glutaredoxin,HGNC:4330,5q15,600443
GLRX2,ENSG00000023572,51022,"GRX2, bA101E13.1",glutaredoxin 2,HGNC:16065,1q31.2,606820
GLRX3,ENSG00000108010,10539,"PICOT, bA500G10.4, GRX3, GLRX4, GRX4",glutaredoxin 3,HGNC:15987,10q26.3,612754
GLRX5,ENSG00000182512,51218,"PR01238, GRX5",glutaredoxin 5,HGNC:20134,14q32.13,609588
GLS,ENSG00000115419,2744,"KIAA0838, GLS1",glutaminase,HGNC:4331,2q32.2,138280
GLS2,ENSG00000135423,27165,"GA, GLS, LGA, hLGA",glutaminase 2,HGNC:29570,12q13.3,606365
GLT1D1,ENSG00000151948,144423,FLJ31978,glycosyltransferase 1 domain containing 1,HGNC:26483,12q24.33,
GLT6D1,ENSG00000204007,360203,,glycosyltransferase 6 domain containing 1,HGNC:23671,9q34.3,613699
GLT8D1,ENSG00000016864,55830,"AD-017, FLJ14611",glycosyltransferase 8 domain containing 1,HGNC:24870,3p21.1,
GLT8D2,ENSG00000120820,83468,FLJ31494,glycosyltransferase 8 domain containing 2,HGNC:24890,12q23.3,
GLTP,ENSG00000139433,51228,,glycolipid transfer protein,HGNC:24867,12q24.11,608949
GLTPD2,nan,388323,,glycolipid transfer protein domain containing 2,HGNC:33756,17p13.2,
GLUD1,ENSG00000148672,2746,GDH,glutamate dehydrogenase 1,HGNC:4335,10q23.2,138130
GLUD2,ENSG00000182890,2747,,glutamate dehydrogenase 2,HGNC:4336,Xq24,300144
GLUL,ENSG00000135821,2752,,glutamate-ammonia ligase,HGNC:4341,1q25.3,138290
GLYAT,ENSG00000149124,10249,"GAT, ACGNAT",glycine-N-acyltransferase,HGNC:13734,11q12.1,607424
GLYATL1,ENSG00000166840,92292,"MGC15397, FLJ34646",glycine-N-acyltransferase like 1,HGNC:30519,11q12.1,614761
GLYATL1B,ENSG00000255151,100287520,,glycine-N-acyltransferase like 1B,HGNC:37865,11q12.1,
GLYATL2,ENSG00000156689,219970,"BXMAS2-10, MGC24009",glycine-N-acyltransferase like 2,HGNC:24178,11q12.1,614762
GLYATL3,ENSG00000203972,389396,bA28H17.2,glycine-N-acyltransferase like 3,HGNC:21349,6p12.3,614763
GLYCTK,ENSG00000168237,132158,"HBEBP4, HBEBP2",glycerate kinase,HGNC:24247,3p21.2,610516
GLYR1,ENSG00000140632,84656,"BM045, HIBDL, NP60, N-PAC",glyoxylate reductase 1 homolog,HGNC:24434,16p13.3,610660
GM2A,ENSG00000196743,2760,SAP-3,GM2 ganglioside activator,HGNC:4367,5q33.1,613109
GMCL1,ENSG00000087338,64395,"FLJ13057, BTBD13, GCL1, SPATA29","germ cell-less 1, spermatogenesis associated",HGNC:23843,2p13.3,
GMCL2,ENSG00000244234,64396,GCL,"germ cell-less 2, spermatogenesis associated",HGNC:19717,5q35.3,
GMDS,ENSG00000112699,2762,"GMD, SDR3E1","GDP-mannose 4,6-dehydratase",HGNC:4369,6p25.3,602884
GMEB1,ENSG00000162419,10691,"P96PIF, PIF96",glucocorticoid modulatory element binding protein 1,HGNC:4370,1p35.3,604409
GMEB2,ENSG00000101216,26205,"P79PIF, KIAA1269, PIF79",glucocorticoid modulatory element binding protein 2,HGNC:4371,20q13.33,607451
GMFB,ENSG00000197045,2764,GMF,glia maturation factor beta,HGNC:4373,14q22.2,601713
GMFG,ENSG00000130755,9535,,glia maturation factor gamma,HGNC:4374,19q13.2,604104
GMIP,nan,51291,ARHGAP46,GEM interacting protein,HGNC:24852,19p13.11,609694
GML,ENSG00000104499,2765,LY6DL,glycosylphosphatidylinositol anchored molecule like,HGNC:4375,8q24.3,602370
GMNC,ENSG00000205835,647309,GEMC1,geminin coiled-coil domain containing,HGNC:40049,3q28,614448
GMNN,ENSG00000112312,51053,Gem,geminin DNA replication inhibitor,HGNC:17493,6p22.3,602842
GMPPA,ENSG00000144591,29926,,GDP-mannose pyrophosphorylase A,HGNC:22923,2q35,615495
GMPPB,ENSG00000173540,29925,KIAA1851,GDP-mannose pyrophosphorylase B,HGNC:22932,3p21.31,615320
GMPR,ENSG00000137198,2766,,guanosine monophosphate reductase,HGNC:4376,6p22.3,139265
GMPR2,ENSG00000100938,51292,,guanosine monophosphate reductase 2,HGNC:4377,14q12,610781
GMPS,ENSG00000163655,8833,GATD7,guanine monophosphate synthase,HGNC:4378,3q25.31,600358
GNA11,ENSG00000088256,2767,"FBH, FBH2, FHH2",G protein subunit alpha 11,HGNC:4379,19p13.3,139313
GNA12,ENSG00000146535,2768,gep,G protein subunit alpha 12,HGNC:4380,7p22.3-p22.2,604394
GNA13,ENSG00000120063,10672,"G13, MGC46138",G protein subunit alpha 13,HGNC:4381,17q24.1,604406
GNA14,ENSG00000156049,9630,,G protein subunit alpha 14,HGNC:4382,9q21.2,604397
GNA15,nan,2769,GNA16,G protein subunit alpha 15,HGNC:4383,19p13.3,139314
GNAI1,ENSG00000127955,2770,,G protein subunit alpha i1,HGNC:4384,7q21.11,139310
GNAI2,ENSG00000114353,2771,GIP,G protein subunit alpha i2,HGNC:4385,3p21.31,139360
GNAI3,ENSG00000065135,2773,87U6,G protein subunit alpha i3,HGNC:4387,1p13.3,139370
GNAL,ENSG00000141404,2774,,G protein subunit alpha L,HGNC:4388,18p11.21,139312
GNAO1,ENSG00000087258,2775,G-ALPHA-o,G protein subunit alpha o1,HGNC:4389,16q13,139311
GNAQ,ENSG00000156052,2776,"G-ALPHA-q, GAQ",G protein subunit alpha q,HGNC:4390,9q21.2,600998
GNAS,ENSG00000087460,2778,"NESP55, NESP, GNASXL, GPSA, SCG6, SgVI",GNAS complex locus,HGNC:4392,20q13.32,139320
GNAT1,ENSG00000114349,2779,CSNBAD3,G protein subunit alpha transducin 1,HGNC:4393,3p21.31,139330
GNAT2,ENSG00000134183,2780,ACHM4,G protein subunit alpha transducin 2,HGNC:4394,1p13.3,139340
GNAT3,ENSG00000214415,346562,"gustducin, GDCA",G protein subunit alpha transducin 3,HGNC:22800,7q21.11,139395
GNAZ,ENSG00000128266,2781,,G protein subunit alpha z,HGNC:4395,22q11.22-q11.23,139160
GNB1,ENSG00000078369,2782,,G protein subunit beta 1,HGNC:4396,1p36.33,139380
GNB1L,ENSG00000185838,54584,"GY2, WDR14",G protein subunit beta 1 like,HGNC:4397,22q11.21,610778
GNB2,ENSG00000172354,2783,,G protein subunit beta 2,HGNC:4398,7q22.1,139390
GNB3,ENSG00000111664,2784,,G protein subunit beta 3,HGNC:4400,12p13.31,139130
GNB4,ENSG00000114450,59345,,G protein subunit beta 4,HGNC:20731,3q26.33,610863
GNB5,ENSG00000069966,10681,GB5,G protein subunit beta 5,HGNC:4401,15q21.2,604447
GNE,ENSG00000159921,10020,Uae1,glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase,HGNC:23657,9p13.3,603824
GNG10,ENSG00000242616,2790,,G protein subunit gamma 10,HGNC:4402,9q31.3,604389
GNG11,ENSG00000127920,2791,GNGT11,G protein subunit gamma 11,HGNC:4403,7q21.3,604390
GNG12,ENSG00000172380,55970,,G protein subunit gamma 12,HGNC:19663,1p31.3,615405
GNG13,ENSG00000127588,51764,"h2-35, G(gamma)13",G protein subunit gamma 13,HGNC:14131,16p13.3,607298
GNG14,ENSG00000283980,105372280,,G protein subunit gamma 14,HGNC:53439,19p13.13,
GNG2,ENSG00000186469,54331,,G protein subunit gamma 2,HGNC:4404,14q22.1,606981
GNG3,ENSG00000162188,2785,,G protein subunit gamma 3,HGNC:4405,11q12.3,608941
GNG4,ENSG00000168243,2786,,G protein subunit gamma 4,HGNC:4407,1q42.3,604388
GNG5,ENSG00000174021,2787,,G protein subunit gamma 5,HGNC:4408,1p22.3,600874
GNG7,ENSG00000176533,2788,FLJ00058,G protein subunit gamma 7,HGNC:4410,19p13.3,604430
GNG8,nan,94235,,G protein subunit gamma 8,HGNC:19664,19q13.32,
GNGT1,ENSG00000127928,2792,GNG1,G protein subunit gamma transducin 1,HGNC:4411,7q21.3,189970
GNGT2,nan,2793,GNG9,G protein subunit gamma transducin 2,HGNC:4412,17q21,139391
GNL1,ENSG00000204590,2794,HSR1,G protein nucleolar 1 (putative),HGNC:4413,6p21.33,143024
GNL2,ENSG00000134697,29889,"Ngp-1, HUMAUANTIG, Nog2, Nug2",G protein nucleolar 2,HGNC:29925,1p34.3,609365
GNL3,ENSG00000163938,26354,"C77032, E2IG3, MGC800, NS",G protein nucleolar 3,HGNC:29931,3p21.1,608011
GNL3L,ENSG00000130119,54552,"FLJ10613, GNL3B",G protein nucleolar 3 like,HGNC:25553,Xp11.22,300873
GNLY,ENSG00000115523,10578,"NKG5, LAG-2, D2S69E, TLA519",granulysin,HGNC:4414,2p11.2,188855
GNMT,ENSG00000124713,27232,,glycine N-methyltransferase,HGNC:4415,6p21.1,606628
GNPAT,ENSG00000116906,8443,"DHAPAT, DAPAT, DAP-AT",glyceronephosphate O-acyltransferase,HGNC:4416,1q42.2,602744
GNPDA1,ENSG00000113552,10007,"GNPDA, HLN, GPI, KIAA0060",glucosamine-6-phosphate deaminase 1,HGNC:4417,5q31.3,601798
GNPDA2,ENSG00000163281,132789,SB52,glucosamine-6-phosphate deaminase 2,HGNC:21526,4p12,613222
GNPNAT1,ENSG00000100522,,"Gpnat1, FLJ10607",glucosamine-phosphate N-acetyltransferase 1,HGNC:19980,14q22.1,616510
GNPTAB,ENSG00000111670,79158,"KIAA1208, MGC4170",N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,HGNC:29670,12q23.2,607840
GNPTG,ENSG00000090581,84572,"CAB56184, c316G12.3",N-acetylglucosamine-1-phosphate transferase subunit gamma,HGNC:23026,16p13.3,607838
GNRH1,ENSG00000147437,2796,,gonadotropin releasing hormone 1,HGNC:4419,8p21.2,152760
